method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E0_last_value,MMSP_published_series,13,1,raw,0.05547352135181427,0.09533944725990295,141.18011474609375,23.133056640625,2545,2545
E0_last_value,MMSP_published_series,13,1,post,0.05547352135181427,0.09533944725990295,141.18011474609375,23.133056640625,2545,2545
E0_last_value,MMSP_published_series,13,4,raw,0.11770336329936981,0.19959264993667603,1198.22021484375,405.54296875,10180,2545
E0_last_value,MMSP_published_series,13,4,post,0.11770336329936981,0.19959264993667603,1198.22021484375,405.54296875,10180,2545
E0_last_value,MMSP_published_series,13,24,raw,0.22555026412010193,0.33182328939437866,13776.6103515625,6725.3173828125,61080,2545
E0_last_value,MMSP_published_series,13,24,post,0.22555026412010193,0.33182328939437866,13776.6103515625,6725.3173828125,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,1,raw,0.06230281665921211,0.14278915524482727,158.5606689453125,51.889347076416016,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,1,post,0.06230281665921211,0.14278915524482727,158.5606689453125,51.889347076416016,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,4,raw,0.06230282410979271,0.14278915524482727,634.2427368164062,207.55738830566406,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,4,post,0.06230282410979271,0.14278915524482727,634.2427368164062,207.55738830566406,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,24,raw,0.06225491687655449,0.14277544617652893,3802.5302734375,1245.1053466796875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,13,24,post,0.06225491687655449,0.14277544617652893,3802.5302734375,1245.1053466796875,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,1,raw,0.06911090761423111,0.13683129847049713,175.88726806640625,47.64954376220703,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,1,post,0.06911090761423111,0.13683129847049713,175.88726806640625,47.64954376220703,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,4,raw,0.06911090761423111,0.13683131337165833,703.5490112304688,190.5981903076172,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,4,post,0.06911090761423111,0.13683131337165833,703.5490112304688,190.5981903076172,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,24,raw,0.06894487887620926,0.136720672249794,4211.1533203125,1141.7406005859375,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,13,24,post,0.06894487887620926,0.136720672249794,4211.1533203125,1141.7406005859375,61080,2545
E1_original_chronos2,MMSP_published_series,13,1,raw,0.02607210911810398,0.05834440886974335,66.353515625,8.663358688354492,2545,2545
E1_original_chronos2,MMSP_published_series,13,1,post,0.026054037734866142,0.0583440437912941,66.30752563476562,8.663249969482422,2545,2545
E1_original_chronos2,MMSP_published_series,13,4,raw,0.03421160951256752,0.07676734775304794,348.274169921875,59.993038177490234,10180,2545
E1_original_chronos2,MMSP_published_series,13,4,post,0.034203190356492996,0.07676706463098526,348.1884765625,59.99259948730469,10180,2545
E1_original_chronos2,MMSP_published_series,13,24,raw,0.052772633731365204,0.11800746619701385,3223.3525390625,850.5855102539062,61080,2545
E1_original_chronos2,MMSP_published_series,13,24,post,0.0527680404484272,0.11800726503133774,3223.072021484375,850.5827026367188,61080,2545
E0_last_value,MMSP_published_series,31,1,raw,0.060949936509132385,0.10190001875162125,155.11758422851562,26.42629623413086,2545,2545
E0_last_value,MMSP_published_series,31,1,post,0.06105905398726463,0.10189396888017654,155.39529418945312,26.423158645629883,2545,2545
E0_last_value,MMSP_published_series,31,4,raw,0.12354188412427902,0.2014162242412567,1257.6563720703125,412.9873046875,10180,2545
E0_last_value,MMSP_published_series,31,4,post,0.1235942468047142,0.20137809216976166,1258.189453125,412.8309326171875,10180,2545
E0_last_value,MMSP_published_series,31,24,raw,0.23185455799102783,0.32854971289634705,14161.6767578125,6593.27490234375,61080,2545
E0_last_value,MMSP_published_series,31,24,post,0.23179195821285248,0.32842564582824707,14157.8525390625,6588.29638671875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,31,1,raw,0.07123865187168121,0.1470179706811905,181.3023681640625,55.00835037231445,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,31,1,post,0.07139401137828827,0.14701780676841736,181.69775390625,55.00823211669922,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,31,4,raw,0.0712386965751648,0.1470179706811905,725.2099609375,220.03341674804688,10180,2545
