method,seed,status,optimizer_steps,learning_rate,microbatch,gradient_accumulation,effective_batch,physical_gpu_id,peak_vram_bytes,elapsed_seconds,first_loss,final_loss,runtime_path,history_sha256
E4_shared_lora_cpt,11,complete,1000,1e-05,32,4,128,0,948674560,360.13598585128784,1.8209173381328585,1.91114142537117,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e4_seed11/runtime.json,24ccdd66bf1bef6350171c552502427fbe9f2e4db45bd2db055eafbee00d8590
E4_shared_lora_cpt,22,complete,1000,1e-05,32,4,128,0,948674560,360.46939611434937,2.18213802576065,1.9299287497997284,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e4_seed22/runtime.json,00562e6364378eed64d15a80144cd946d6cceb0d745f5a9dea9a26a6d6ced6fa
E4_shared_lora_cpt,33,complete,1000,1e-05,32,4,128,0,948674560,357.9785854816437,1.90829336643219,1.9490810632705688,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e4_seed33/runtime.json,76264e1f12ca7af7bbaca78febe19f4fa18cbf174201a43da02d78500f8c1eef
E5_full_cpt,11,complete,1000,1e-06,32,4,128,1,1639564288,247.5725519657135,1.8202128112316127,2.0033578276634216,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e5_seed11/runtime.json,98b90b12d35ab94e44667aeac3417cd9f56f1893cecd6f8f7cdbecda36557143
E5_full_cpt,22,complete,1000,1e-06,32,4,128,1,1639564288,243.68594980239868,2.18170702457428,1.9774338901042936,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e5_seed22/runtime.json,9217b13d0fbe8142cb62535254d27f5391e0136338b6af4edfadf90dba1020c0
E5_full_cpt,33,complete,1000,1e-06,32,4,128,1,1639564288,239.46463203430176,1.908589392900467,2.014643907546997,/home/zhaopp/workspace/PV-TSFM/outputs/mmsp_published_series_exploratory/training/e5_seed33/runtime.json,d445acca88362f644cf300a26b3d90a207ec2f78b61874b3f1d02548fceeb523
